Name,Team,Position,Start-IP,Relief-IP,WAR,IP,ERA,FIP,xFIP,SIERA,K%,BB%,SwStr%,CSW%,Hard%
Joey Wentz,DET,SP,32.2,0,0.5,32.2,3.03,3.54,4.56,4.58,20,9.6,8.6,24.1,29.8
Enyel De Los Santos,CLE,RP,0,53.1,1,53.1,3.04,2.62,3.17,2.98,28.4,7.9,14,28.9,33.3
Giovanny Gallegos,STL,RP,0,59,1.3,59,3.05,2.88,3.51,2.89,31.1,7.7,17.3,31.8,29.9
Brandon Woodruff,MIL,SP,153.1,0,3.5,153.1,3.05,3.08,3.14,3.03,30.6,6.8,14.1,31,31.8
Chris Martin,- - -,RP,0,55.3,1.6,56,3.05,2.18,2.01,1.87,32.9,2.2,13.3,29,29
Dillon Tate,BAL,RP,0,73.2,0.5,73.2,3.05,3.48,3.4,3.09,20.5,5.5,10.6,29.6,27.8
Tanner Banks,CHW,RP,0,53,0.3,53,3.06,3.57,3.6,3.55,22.6,8.3,8.9,27,28.9
Steven Wilson,SDP,RP,1,52,0.3,53,3.06,4.13,4.62,3.95,24.8,9.3,12.7,28.8,21.7
Phoenix Sanders,TBR,RP,0,14.2,0.2,14.2,3.07,2.09,3.7,3.52,21.1,5.3,7.9,23.7,33.3
Jacob deGrom,NYM,SP,64.1,0,2.2,64.1,3.08,2.13,1.53,1.59,42.7,3.3,21.1,35.4,34.1
Sonny Gray,MIN,SP,119.2,0,2.4,119.2,3.08,3.4,3.66,3.73,24,7.4,9.2,29.4,31
Huascar Brazoban,MIA,RP,0,32,0,32,3.09,3.99,3.93,3.87,28.4,14.9,17,29.8,25.6
Andrew Heaney,LAD,SP,64.2,8,1.1,72.2,3.1,3.75,2.83,2.46,35.5,6.1,16.8,32.5,36
Yu Darvish,SDP,SP,194.2,0,4.2,194.2,3.1,3.31,3.58,3.39,25.6,4.8,11.4,29.6,29.7
Yimi Garcia,TOR,RP,0,61,0.9,61,3.1,3.47,4.09,3.43,23.5,6.5,10.5,26.9,24.3
Adrian Sampson,CHC,SP,98.2,5.2,1.5,104.1,3.11,3.79,4.39,4.48,17.1,6.3,9.3,23.6,25.8
Javier Assad,CHC,SP,36.2,1,0.4,37.2,3.11,4.49,4.92,5.09,18.1,12,10.1,25.1,28.4
Logan Gillaspie,BAL,RP,0,17.1,0.1,17.1,3.12,3.57,4.45,4.29,13.5,4.1,8,26,30.5
A.J. Puk,OAK,RP,0,66.1,0.3,66.1,3.12,3.69,3.67,3.15,27,8.2,12.9,30.8,31
Clarke Schmidt,NYY,RP,11.2,46,0.5,57.2,3.12,3.6,3.96,3.79,23.7,9.7,11.9,30.4,32.9
Brandon Hughes,CHC,RP,0,57.2,-0.3,57.2,3.12,4.64,3.78,3.14,28.5,8.8,15,30.6,32.6
Tim Mayza,TOR,RP,0,48.2,0.1,48.2,3.14,3.98,2.93,2.88,22.8,6.2,9.4,27.9,33.8
