name,Team,player_id,year,b_total_pa,b_game,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,avg_best_speed,launch_angle_avg,barrel_batted_rate,pull_percent,linedrives_percent
Buddy Kennedy,ARI,671083,2022,94,30,0.196,0.28,0.255,0.275,0.085,88.6,96.31520645,13,1.6,30.6,25.8
Nolan Jones,CLE,666134,2022,94,28,0.254,0.436,0.325,0.317,0.182,89.3,101.6560396,15.9,14.5,43.6,32.7
Nick Solak,TEX,669256,2022,95,35,0.242,0.409,0.335,0.338,0.168,86.7,98.94320807,5.7,7.8,40.6,17.2
Triston Casas,BOS,671213,2022,95,27,0.193,0.356,0.325,0.354,0.163,86,99.40301074,2.2,7.5,37.7,13.2
Magneuris Sierra,LAA,642423,2022,96,45,0.197,0.234,0.212,0.23,0.038,82.2,94.478225,7.2,0,40.3,23.9
Travis Demeritte,ATL,641513,2022,96,26,0.211,0.333,0.263,0.261,0.122,88.8,100.2232348,9.7,6.9,41.4,22.4
Sean Bouchard,COL,656248,2022,97,27,0.244,0.349,0.36,0.421,0.105,89.8,100.2424568,15.3,2,48,34
Kyle Stowers,BAL,669065,2022,98,34,0.266,0.447,0.335,0.319,0.181,91.1,102.0942877,16,11.3,40.3,32.3
Josh Jung,TEX,673962,2022,102,26,0.225,0.403,0.287,0.255,0.178,85.5,98.30520933,14.3,10.2,47.5,25.4
Peyton Burdick,MIA,680814,2022,102,32,0.205,0.387,0.296,0.283,0.182,90,100.2752554,18,10.5,35.1,22.8
Michael Papierski,CIN,657709,2022,103,39,0.171,0.204,0.217,0.253,0.033,77.4,88.34039727,12.2,0,38.8,19.4
Terrin Vavra,BAL,679631,2022,103,40,0.264,0.353,0.318,0.348,0.089,87.5,96.13593657,10.7,1.4,27.8,31.9
Robinson Cano,Free Agent,429664,2022,104,33,0.209,0.299,0.237,0.239,0.09,88.2,100.2619881,5.8,4,38.7,20
Danny Mendick,CHW,664901,2022,106,31,0.229,0.327,0.273,0.287,0.099,86.8,95.65364784,10.3,4,34.7,28
Spencer Steer,CIN,668715,2022,108,28,0.206,0.304,0.278,0.302,0.098,84.7,96.40336886,13.6,5.8,43.5,21.7
Zack Collins,PIT,641470,2022,108,36,0.181,0.317,0.257,0.256,0.137,91,99.47170862,20.1,8.8,54.4,24.6
Drew Waters,KCR,671221,2022,109,32,0.195,0.376,0.293,0.285,0.18,84.1,96.32379214,10.4,12.5,39.3,21.4
Romy Gonzalez,CHW,663853,2022,109,32,0.228,0.359,0.265,0.248,0.131,91.2,102.5632542,3.3,9,29.9,13.4
Ehire Adrianza,ATL,501303,2022,110,37,0.222,0.288,0.274,0.306,0.066,84.6,94.93873472,12.6,1.4,43.8,20.5
Stuart Fairchild,CIN,656413,2022,110,46,0.221,0.396,0.317,0.313,0.175,88.9,99.36416419,13.3,9.5,44.4,15.9
Jake Lamb,SEA,571875,2022,111,41,0.215,0.39,0.314,0.314,0.175,91.5,100.7100847,15,11.9,39,22
Jason Vosler,SFG,613564,2022,111,36,0.244,0.376,0.312,0.326,0.132,84.7,96.15638714,15.2,4.3,50,30
Mickey Moniak,LAA,666160,2022,112,37,0.155,0.262,0.203,0.193,0.107,84.9,98.71953742,19.1,7.9,49.2,19
Kerry Carpenter,DET,681481,2022,113,31,0.209,0.394,0.292,0.271,0.186,87.2,97.78984056,14.5,11.1,44.4,22.2
Aramis Garcia,CIN,605244,2022,115,47,0.212,0.314,0.247,0.246,0.102,87.5,98.56716378,19.6,2.6,36.8,28.9
Corbin Carroll,ARI,682998,2022,115,32,0.221,0.359,0.293,0.295,0.138,85.8,97.22994378,9.1,5.5,37,27.4
Skye Bolt,OAK,621450,2022,116,42,0.194,0.321,0.258,0.256,0.127,89.2,98.38047105,9.3,5.2,37.7,22.1
Bradley Zimmer,PHI,605548,2022,117,109,0.138,0.268,0.225,0.22,0.13,87,99.04026214,10.5,11.5,31.1,13.1
Eli White,TEX,642201,2022,117,47,0.183,0.293,0.255,0.261,0.11,86.4,97.84037714,21.5,4.6,40,18.5
Taylor Trammell,SEA,666211,2022,117,43,0.206,0.357,0.292,0.294,0.151,88.3,97.77618143,20.5,9.9,38,16.9
Michael Toglia,COL,669911,2022,120,31,0.218,0.305,0.261,0.276,0.088,87.4,99.72292059,17,7.5,46.3,26.9
Garrett Stubbs,PHI,596117,2022,121,46,0.207,0.299,0.275,0.3,0.092,85.2,96.09875257,15.2,5.2,50.6,22.1
